Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
21,drone_3,4.5205,9.4625,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
21,drone_4,2.0771,5.2802,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
21,drone_5,8.0460,11.1557,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
21,drone_7,4.4162,7.1702,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
21,drone_8,6.2007,10.4497,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
21,drone_9,10.6604,12.0671,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_1,12.7512,12.5033,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_2,8.2313,12.4116,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_3,4.6409,9.6222,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_4,2.1053,5.4782,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_5,8.2290,11.2365,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_7,4.4704,7.3627,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_8,6.3836,10.5306,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
22,drone_9,10.8570,12.1035,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
23,drone_1,12.9282,12.5965,17.0000,17.0000,"11.519,5.034,0.720;17.012,1.813,0.220;7.163,1.100,0.224;12.260,18.628,1.659;19.302,8.090,0.486;5.720,5.442,1.184;10.578,5.982,0.222;11.557,3.930,0.756;16.295,14.545,0.360;12.260,13.535,0.870;8.052,17.541,1.555;5.257,2.409,0.398;16.700,1.837,0.453;12.475,2.840,0.610;15.277,13.181,0.395;18.927,9.790,1.116;12.561,14.275,0.392;5.986,14.454,1.079;1.493,16.156,1.177;7.817,15.214,0.959;17.585,7.516,0.398;7.889,3.762,0.776;12.990,14.947,1.676;9.039,0.309,0.443;6.979,17.492,1.691;10.607,17.517,0.349;13.418,17.832,1.044;11.792,9.678,1.340;11.062,4.776,0.320;6.747,5.788,0.747;6.705,9.474,0.234;15.602,10.819,1.603;16.350,3.373,0.329;13.875,0.869,1.243;2.675,14.095,0.387;6.058,2.771,1.104;1.608,13.298,0.761;11.282,5.387,0.686;14.986,8.953,1.361;10.026,12.879,0.334;19.481,2.466,0.999;5.528,0.760,0.909;4.332,14.374,0.243;13.902,14.591,0.919;7.745,0.792,0.329;12.934,15.573,2.025;9.162,2.602,0.380;10.454,5.519,1.343;4.457,0.782,0.410;12.194,10.234,0.809;4.704,2.735,0.256;8.900,3.820,1.709;14.855,15.646,0.376;11.637,17.068,0.363;16.466,2.552,0.470;8.734,6.625,0.741;9.715,5.990,1.235;16.664,13.115,1.270;12.673,16.301,2.242;9.570,17.229,2.450;15.441,12.037,1.034;0.745,19.767,0.267;18.357,0.594,0.302;18.874,4.315,0.768;0.312,8.802,0.329;14.102,10.387,1.712;2.869,16.343,0.324;4.116,2.221,0.295;18.801,3.318,0.680;7.098,6.113,1.029;7.887,16.406,1.333;17.587,0.843,0.679;8.107,3.969,1.155;1.384,13.886,0.821"
